Wall time,Step,Value
1701386128.4999864,1,0.0625
1701386687.0853875,2,0.0
1701387229.4737465,3,0.0
1701387772.828626,4,0.0
1701388319.3912506,5,0.0
1701388871.973659,6,0.0
1701389416.5956662,7,0.0
1701389963.7393668,8,0.0
1701390509.0069327,9,0.0
1701391052.9768922,10,0.0
1701391597.8269937,11,0.0
1701392141.6512628,12,0.0
1701392680.3998072,13,0.0
1701393221.3711865,14,0.0
1701393760.0706663,15,0.0
1701394311.3193066,16,0.0
1701394852.2660313,17,0.0
1701395394.6706383,18,0.0
1701395950.5250325,19,0.0
1701396491.4597383,20,0.0
1701397032.5768442,21,0.0
1701397590.7235026,22,0.0
1701398139.7863393,23,0.0
1701398680.071863,24,0.0
1701399220.4626982,25,0.0
1701399762.7365968,26,0.0
1701400306.6939797,27,0.0
1701400849.9142497,28,0.0
1701401386.4684439,29,0.0
1701401924.9533617,30,0.0
1701402472.1859329,31,0.0
1701403008.1502233,32,0.0
1701403543.6438823,33,0.0
1701404075.8083491,34,0.0
1701404611.8555284,35,0.0
